2023-09-30 15:19:29,209.Smoker_producer.INFO ==================================================
2023-09-30 15:19:29,210.Smoker_producer.INFO Today is 2023-09-30 at 03:19 PM
2023-09-30 15:19:29,210.Smoker_producer.INFO Running on: nt Windows 10
2023-09-30 15:19:29,211.Smoker_producer.INFO Python version:  3.9.12
2023-09-30 15:19:29,211.Smoker_producer.INFO Python path: C:\Users\alhal\miniconda3
2023-09-30 15:19:29,211.Smoker_producer.INFO Working dir: C:\Users\alhal\OneDrive\Documents\44-671\streaming-05-smart-smoker
2023-09-30 15:19:29,211.Smoker_producer.INFO ==================================================
2023-09-30 15:19:47,800.Smoker_producer.INFO  [x] Sent b'05/22/21 12:28:15,No temperature'
2023-09-30 15:19:47,808.Smoker_producer.INFO  [x] Sent b'05/22/21 12:28:15,No temperature'
2023-09-30 15:19:48,820.Smoker_producer.INFO  [x] Sent b'05/22/21 12:29:10,114.2'
2023-09-30 15:19:48,828.Smoker_producer.INFO  [x] Sent b'05/22/21 12:29:10,No temperature'
2023-09-30 15:19:48,833.Smoker_producer.INFO  [x] Sent b'05/22/21 12:29:10,No temperature'
2023-09-30 15:19:49,849.Smoker_producer.INFO  [x] Sent b'05/22/21 12:29:15,114.2'
2023-09-30 15:19:49,856.Smoker_producer.INFO  [x] Sent b'05/22/21 12:29:15,No temperature'
2023-09-30 15:19:49,864.Smoker_producer.INFO  [x] Sent b'05/22/21 12:29:15,No temperature'
2023-09-30 15:19:50,887.Smoker_producer.INFO  [x] Sent b'05/22/21 12:30:10,116.9'
2023-09-30 15:19:50,898.Smoker_producer.INFO  [x] Sent b'05/22/21 12:30:10,No temperature'
2023-09-30 15:19:50,904.Smoker_producer.INFO  [x] Sent b'05/22/21 12:30:10,No temperature'
2023-09-30 15:19:51,912.Smoker_producer.INFO  [x] Sent b'05/22/21 12:30:15,116.9'
2023-09-30 15:19:51,919.Smoker_producer.INFO  [x] Sent b'05/22/21 12:30:15,No temperature'
2023-09-30 15:19:51,928.Smoker_producer.INFO  [x] Sent b'05/22/21 12:30:15,No temperature'
2023-09-30 15:19:52,953.Smoker_producer.INFO  [x] Sent b'05/22/21 12:31:10,119.4'
2023-09-30 15:19:52,964.Smoker_producer.INFO  [x] Sent b'05/22/21 12:31:10,No temperature'
2023-09-30 15:19:52,975.Smoker_producer.INFO  [x] Sent b'05/22/21 12:31:10,No temperature'
2023-09-30 15:19:53,991.Smoker_producer.INFO  [x] Sent b'05/22/21 12:31:15,119.4'
2023-09-30 15:19:54,000.Smoker_producer.INFO  [x] Sent b'05/22/21 12:31:15,No temperature'
2023-09-30 15:19:54,008.Smoker_producer.INFO  [x] Sent b'05/22/21 12:31:15,No temperature'
2023-09-30 15:19:55,022.Smoker_producer.INFO  [x] Sent b'05/22/21 12:32:10,120.1'
2023-09-30 15:19:55,033.Smoker_producer.INFO  [x] Sent b'05/22/21 12:32:10,No temperature'
2023-09-30 15:19:55,040.Smoker_producer.INFO  [x] Sent b'05/22/21 12:32:10,No temperature'
2023-09-30 15:19:56,067.Smoker_producer.INFO  [x] Sent b'05/22/21 12:32:15,120.1'
2023-09-30 15:19:56,077.Smoker_producer.INFO  [x] Sent b'05/22/21 12:32:15,No temperature'
2023-09-30 15:19:56,086.Smoker_producer.INFO  [x] Sent b'05/22/21 12:32:15,No temperature'
2023-09-30 15:19:57,099.Smoker_producer.INFO  [x] Sent b'05/22/21 12:33:10,106.2'
2023-09-30 15:19:57,107.Smoker_producer.INFO  [x] Sent b'05/22/21 12:33:10,No temperature'
2023-09-30 15:19:57,118.Smoker_producer.INFO  [x] Sent b'05/22/21 12:33:10,No temperature'
2023-09-30 15:19:58,139.Smoker_producer.INFO  [x] Sent b'05/22/21 12:33:15,106.2'
2023-09-30 15:19:58,150.Smoker_producer.INFO  [x] Sent b'05/22/21 12:33:15,No temperature'
2023-09-30 15:19:58,162.Smoker_producer.INFO  [x] Sent b'05/22/21 12:33:15,No temperature'
2023-09-30 15:19:59,181.Smoker_producer.INFO  [x] Sent b'05/22/21 12:34:10,103.5'
2023-09-30 15:19:59,191.Smoker_producer.INFO  [x] Sent b'05/22/21 12:34:10,No temperature'
2023-09-30 15:19:59,199.Smoker_producer.INFO  [x] Sent b'05/22/21 12:34:10,No temperature'
2023-09-30 15:20:00,209.Smoker_producer.INFO  [x] Sent b'05/22/21 12:34:15,103.5'
2023-09-30 15:20:00,219.Smoker_producer.INFO  [x] Sent b'05/22/21 12:34:15,No temperature'
2023-09-30 15:20:00,240.Smoker_producer.INFO  [x] Sent b'05/22/21 12:34:15,No temperature'
2023-09-30 15:20:01,250.Smoker_producer.INFO  [x] Sent b'05/22/21 12:35:10,105.3'
2023-09-30 15:20:01,260.Smoker_producer.INFO  [x] Sent b'05/22/21 12:35:10,No temperature'
2023-09-30 15:20:01,268.Smoker_producer.INFO  [x] Sent b'05/22/21 12:35:10,No temperature'
2023-09-30 15:20:02,280.Smoker_producer.INFO  [x] Sent b'05/22/21 12:35:15,105.3'
2023-09-30 15:20:02,289.Smoker_producer.INFO  [x] Sent b'05/22/21 12:35:15,No temperature'
2023-09-30 15:20:02,294.Smoker_producer.INFO  [x] Sent b'05/22/21 12:35:15,No temperature'
2023-09-30 15:20:03,313.Smoker_producer.INFO  [x] Sent b'05/22/21 12:36:10,106.9'
2023-09-30 15:20:03,321.Smoker_producer.INFO  [x] Sent b'05/22/21 12:36:10,No temperature'
2023-09-30 15:20:03,327.Smoker_producer.INFO  [x] Sent b'05/22/21 12:36:10,No temperature'
2023-09-30 15:20:04,339.Smoker_producer.INFO  [x] Sent b'05/22/21 12:36:15,106.9'
2023-09-30 15:20:04,348.Smoker_producer.INFO  [x] Sent b'05/22/21 12:36:15,No temperature'
2023-09-30 15:20:04,357.Smoker_producer.INFO  [x] Sent b'05/22/21 12:36:15,No temperature'
2023-09-30 15:20:05,382.Smoker_producer.INFO  [x] Sent b'05/22/21 12:37:10,111.9'
2023-09-30 15:20:05,393.Smoker_producer.INFO  [x] Sent b'05/22/21 12:37:10,No temperature'
2023-09-30 15:20:05,401.Smoker_producer.INFO  [x] Sent b'05/22/21 12:37:10,No temperature'
2023-09-30 15:20:06,420.Smoker_producer.INFO  [x] Sent b'05/22/21 12:37:15,111.9'
2023-09-30 15:20:06,427.Smoker_producer.INFO  [x] Sent b'05/22/21 12:37:15,No temperature'
2023-09-30 15:20:06,433.Smoker_producer.INFO  [x] Sent b'05/22/21 12:37:15,No temperature'
2023-09-30 15:20:07,447.Smoker_producer.INFO  [x] Sent b'05/22/21 12:38:10,114.2'
2023-09-30 15:20:07,457.Smoker_producer.INFO  [x] Sent b'05/22/21 12:38:10,No temperature'
2023-09-30 15:20:07,466.Smoker_producer.INFO  [x] Sent b'05/22/21 12:38:10,No temperature'
2023-09-30 15:20:08,481.Smoker_producer.INFO  [x] Sent b'05/22/21 12:38:15,114.2'
2023-09-30 15:20:08,491.Smoker_producer.INFO  [x] Sent b'05/22/21 12:38:15,No temperature'
2023-09-30 15:20:08,525.Smoker_producer.INFO  [x] Sent b'05/22/21 12:38:15,No temperature'
2023-09-30 15:20:09,552.Smoker_producer.INFO  [x] Sent b'05/22/21 12:39:10,115.5'
2023-09-30 15:20:09,562.Smoker_producer.INFO  [x] Sent b'05/22/21 12:39:10,No temperature'
2023-09-30 15:20:09,567.Smoker_producer.INFO  [x] Sent b'05/22/21 12:39:10,No temperature'
2023-09-30 15:20:10,583.Smoker_producer.INFO  [x] Sent b'05/22/21 12:39:15,115.5'
2023-09-30 15:20:10,593.Smoker_producer.INFO  [x] Sent b'05/22/21 12:39:15,No temperature'
2023-09-30 15:20:10,601.Smoker_producer.INFO  [x] Sent b'05/22/21 12:39:15,No temperature'
2023-09-30 15:20:11,627.Smoker_producer.INFO  [x] Sent b'05/22/21 12:40:10,112.6'
2023-09-30 15:20:11,640.Smoker_producer.INFO  [x] Sent b'05/22/21 12:40:10,No temperature'
2023-09-30 15:20:11,655.Smoker_producer.INFO  [x] Sent b'05/22/21 12:40:10,No temperature'
2023-09-30 15:20:12,682.Smoker_producer.INFO  [x] Sent b'05/22/21 12:40:15,112.6'
2023-09-30 15:20:12,696.Smoker_producer.INFO  [x] Sent b'05/22/21 12:40:15,No temperature'
2023-09-30 15:20:12,703.Smoker_producer.INFO  [x] Sent b'05/22/21 12:40:15,No temperature'
2023-09-30 15:20:13,724.Smoker_producer.INFO  [x] Sent b'05/22/21 12:41:10,118.8'
2023-09-30 15:20:13,735.Smoker_producer.INFO  [x] Sent b'05/22/21 12:41:10,No temperature'
2023-09-30 15:20:13,744.Smoker_producer.INFO  [x] Sent b'05/22/21 12:41:10,No temperature'
2023-09-30 15:20:14,759.Smoker_producer.INFO  [x] Sent b'05/22/21 12:41:15,118.8'
2023-09-30 15:20:14,769.Smoker_producer.INFO  [x] Sent b'05/22/21 12:41:15,No temperature'
2023-09-30 15:20:14,779.Smoker_producer.INFO  [x] Sent b'05/22/21 12:41:15,No temperature'
2023-09-30 15:20:15,798.Smoker_producer.INFO  [x] Sent b'05/22/21 12:42:10,113.2'
2023-09-30 15:20:15,806.Smoker_producer.INFO  [x] Sent b'05/22/21 12:42:10,No temperature'
2023-09-30 15:20:15,814.Smoker_producer.INFO  [x] Sent b'05/22/21 12:42:10,No temperature'
2023-09-30 15:20:16,829.Smoker_producer.INFO  [x] Sent b'05/22/21 12:42:15,113.2'
2023-09-30 15:20:16,837.Smoker_producer.INFO  [x] Sent b'05/22/21 12:42:15,No temperature'
2023-09-30 15:20:16,849.Smoker_producer.INFO  [x] Sent b'05/22/21 12:42:15,No temperature'
2023-09-30 15:20:17,869.Smoker_producer.INFO  [x] Sent b'05/22/21 12:43:10,126.7'
2023-09-30 15:20:17,878.Smoker_producer.INFO  [x] Sent b'05/22/21 12:43:10,No temperature'
2023-09-30 15:20:17,886.Smoker_producer.INFO  [x] Sent b'05/22/21 12:43:10,No temperature'
2023-09-30 15:20:18,910.Smoker_producer.INFO  [x] Sent b'05/22/21 12:43:15,126.7'
2023-09-30 15:20:18,921.Smoker_producer.INFO  [x] Sent b'05/22/21 12:43:15,No temperature'
