2023-09-30 15:20:10,525.FoodA_consumer.INFO ==================================================
2023-09-30 15:20:10,525.FoodA_consumer.INFO Today is 2023-09-30 at 03:20 PM
2023-09-30 15:20:10,526.FoodA_consumer.INFO Running on: nt Windows 10
2023-09-30 15:20:10,526.FoodA_consumer.INFO Python version:  3.9.12
2023-09-30 15:20:10,527.FoodA_consumer.INFO Python path: C:\Users\alhal\miniconda3
2023-09-30 15:20:10,527.FoodA_consumer.INFO Working dir: C:\Users\alhal\OneDrive\Documents\44-671\streaming-05-smart-smoker
2023-09-30 15:20:10,583.FoodA_consumer.INFO  [x] Received 05/22/21 14:02:35,46.0
2023-09-30 15:20:10,583.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,584.FoodA_consumer.INFO  [x] Received 05/22/21 14:02:40,46.0
2023-09-30 15:20:10,584.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,585.FoodA_consumer.INFO  [x] Received 05/22/21 14:02:45,No temperature
2023-09-30 15:20:10,587.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,588.FoodA_consumer.INFO  [x] Received 05/22/21 14:03:10,No temperature
2023-09-30 15:20:10,588.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,589.FoodA_consumer.INFO  [x] Received 05/22/21 14:03:15,No temperature
2023-09-30 15:20:10,589.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,590.FoodA_consumer.INFO  [x] Received 05/22/21 14:03:35,47.1
2023-09-30 15:20:10,590.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,595.FoodA_consumer.INFO  [x] Received 05/22/21 14:03:40,47.1
2023-09-30 15:20:10,595.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,596.FoodA_consumer.INFO  [x] Received 05/22/21 14:03:45,No temperature
2023-09-30 15:20:10,596.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,597.FoodA_consumer.INFO  [x] Received 05/22/21 14:04:10,No temperature
2023-09-30 15:20:10,598.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,599.FoodA_consumer.INFO  [x] Received 05/22/21 14:04:15,No temperature
2023-09-30 15:20:10,599.FoodA_consumer.INFO  [x] Done.
2023-09-30 15:20:10,600.FoodA_consumer.INFO  [x] Received 05/22/21 14:04:35,48.2
