2023-09-30 15:20:30,768.FoodB_consumer.INFO ==================================================
2023-09-30 15:20:30,768.FoodB_consumer.INFO Today is 2023-09-30 at 03:20 PM
2023-09-30 15:20:30,769.FoodB_consumer.INFO Running on: nt Windows 10
2023-09-30 15:20:30,769.FoodB_consumer.INFO Python version:  3.9.12
2023-09-30 15:20:30,770.FoodB_consumer.INFO Python path: C:\Users\alhal\miniconda3
2023-09-30 15:20:30,771.FoodB_consumer.INFO Working dir: C:\Users\alhal\OneDrive\Documents\44-671\streaming-05-smart-smoker
2023-09-30 15:20:30,825.FoodB_consumer.INFO  [x] Received 05/22/21 14:03:40,39.8
2023-09-30 15:20:30,828.FoodB_consumer.INFO  [x] Done.
2023-09-30 15:20:30,829.FoodB_consumer.INFO  [x] Received 05/22/21 14:03:45,39.8
2023-09-30 15:20:30,830.FoodB_consumer.INFO  [x] Done.
2023-09-30 15:20:30,830.FoodB_consumer.INFO  [x] Received 05/22/21 14:04:10,No temperature
2023-09-30 15:20:30,830.FoodB_consumer.INFO  [x] Done.
2023-09-30 15:20:30,831.FoodB_consumer.INFO  [x] Received 05/22/21 14:04:15,No temperature
2023-09-30 15:20:30,831.FoodB_consumer.INFO  [x] Done.
2023-09-30 15:20:30,832.FoodB_consumer.INFO  [x] Received 05/22/21 14:04:35,No temperature
2023-09-30 15:20:30,832.FoodB_consumer.INFO  [x] Done.
2023-09-30 15:20:30,833.FoodB_consumer.INFO  [x] Received 05/22/21 14:04:40,40.4
2023-09-30 15:20:30,833.FoodB_consumer.INFO  [x] Done.
2023-09-30 15:20:30,834.FoodB_consumer.INFO  [x] Received 05/22/21 14:04:45,40.4
2023-09-30 15:20:30,834.FoodB_consumer.INFO  [x] Done.
2023-09-30 15:20:30,834.FoodB_consumer.INFO  [x] Received 05/22/21 14:05:10,No temperature
2023-09-30 15:20:30,835.FoodB_consumer.INFO  [x] Done.
2023-09-30 15:20:30,835.FoodB_consumer.INFO  [x] Received 05/22/21 14:05:15,No temperature
2023-09-30 15:20:30,835.FoodB_consumer.INFO  [x] Done.
2023-09-30 15:20:30,836.FoodB_consumer.INFO  [x] Received 05/22/21 14:05:35,No temperature
2023-09-30 15:20:30,836.FoodB_consumer.INFO  [x] Done.
2023-09-30 15:20:30,837.FoodB_consumer.INFO  [x] Received 05/22/21 14:05:40,41.1
2023-09-30 15:20:30,837.FoodB_consumer.INFO  [x] Done.
2023-09-30 15:20:30,838.FoodB_consumer.INFO  [x] Received 05/22/21 14:05:45,41.1
2023-09-30 15:20:30,838.FoodB_consumer.INFO  [x] Done.
2023-09-30 15:20:30,838.FoodB_consumer.INFO  [x] Received 05/22/21 14:06:10,No temperature
2023-09-30 15:20:30,839.FoodB_consumer.INFO  [x] Done.
2023-09-30 15:20:30,839.FoodB_consumer.INFO  [x] Received 05/22/21 14:06:15,No temperature
2023-09-30 15:20:30,840.FoodB_consumer.INFO  [x] Done.
2023-09-30 15:20:30,840.FoodB_consumer.INFO  [x] Received 05/22/21 14:06:35,No temperature
2023-09-30 15:20:30,844.FoodB_consumer.INFO  [x] Done.
2023-09-30 15:20:30,845.FoodB_consumer.INFO  [x] Received 05/22/21 14:06:40,41.9
2023-09-30 15:20:30,845.FoodB_consumer.INFO  [x] Done.
2023-09-30 15:20:30,846.FoodB_consumer.INFO  [x] Received 05/22/21 14:06:45,41.9
2023-09-30 15:20:30,846.FoodB_consumer.INFO  [x] Done.
2023-09-30 15:20:30,847.FoodB_consumer.INFO  [x] Received 05/22/21 14:07:10,No temperature
2023-09-30 15:20:30,847.FoodB_consumer.INFO  [x] Done.
2023-09-30 15:20:30,848.FoodB_consumer.INFO  [x] Received 05/22/21 14:07:15,No temperature
2023-09-30 15:20:30,848.FoodB_consumer.INFO  [x] Done.
2023-09-30 15:20:30,849.FoodB_consumer.INFO  [x] Received 05/22/21 14:07:35,No temperature
2023-09-30 15:20:30,849.FoodB_consumer.INFO  [x] Done.
2023-09-30 15:20:30,850.FoodB_consumer.INFO  [x] Received 05/22/21 14:07:40,42.7
2023-09-30 15:20:30,850.FoodB_consumer.INFO  [x] Done.
2023-09-30 15:20:30,851.FoodB_consumer.INFO  [x] Received 05/22/21 14:07:45,42.7
2023-09-30 15:20:30,851.FoodB_consumer.INFO  [x] Done.
2023-09-30 15:20:30,852.FoodB_consumer.INFO  [x] Received 05/22/21 14:08:10,No temperature
2023-09-30 15:20:30,852.FoodB_consumer.INFO  [x] Done.
2023-09-30 15:20:30,853.FoodB_consumer.INFO  [x] Received 05/22/21 14:08:15,No temperature
2023-09-30 15:20:30,853.FoodB_consumer.INFO  [x] Done.
2023-09-30 15:20:30,854.FoodB_consumer.INFO  [x] Received 05/22/21 14:08:35,No temperature
2023-09-30 15:20:30,854.FoodB_consumer.INFO  [x] Done.
2023-09-30 15:20:30,855.FoodB_consumer.INFO  [x] Received 05/22/21 14:08:40,43.4
2023-09-30 15:20:30,855.FoodB_consumer.INFO  [x] Done.
2023-09-30 15:20:30,856.FoodB_consumer.INFO  [x] Received 05/22/21 14:08:45,43.4
2023-09-30 15:20:30,860.FoodB_consumer.INFO  [x] Done.
2023-09-30 15:20:30,861.FoodB_consumer.INFO  [x] Received 05/22/21 14:09:10,No temperature
2023-09-30 15:20:30,861.FoodB_consumer.INFO  [x] Done.
2023-09-30 15:20:30,862.FoodB_consumer.INFO  [x] Received 05/22/21 14:09:15,No temperature
2023-09-30 15:20:30,862.FoodB_consumer.INFO  [x] Done.
2023-09-30 15:20:30,863.FoodB_consumer.INFO  [x] Received 05/22/21 14:09:35,No temperature
2023-09-30 15:20:30,863.FoodB_consumer.INFO  [x] Done.
2023-09-30 15:20:30,864.FoodB_consumer.INFO  [x] Received 05/22/21 14:09:40,44.3
2023-09-30 15:20:30,864.FoodB_consumer.INFO  [x] Done.
2023-09-30 15:20:30,865.FoodB_consumer.INFO  [x] Received 05/22/21 14:09:45,44.3
2023-09-30 15:20:30,865.FoodB_consumer.INFO  [x] Done.
2023-09-30 15:20:30,866.FoodB_consumer.INFO  [x] Received 05/22/21 14:10:10,No temperature
2023-09-30 15:20:30,866.FoodB_consumer.INFO  [x] Done.
2023-09-30 15:20:30,867.FoodB_consumer.INFO  [x] Received 05/22/21 14:10:15,No temperature
